District,Population Total,Population Total Unit,Population Male,Population Male Unit,Population Female,Population Female Unit,Sex Raio,Sex Raio Unit,Literacy Rate Total,Literacy Rate Total Unit
Kasaragod,13.07,Lakhs,6.29,Lakhs,6.79,Lakhs,1080,F to M,89.85,%
Kannur,25.23,Lakhs,11.81,Lakhs,13.42,Lakhs,1136,F to M,95.41,%
Wayanad,8.17,Lakhs,4.02,Lakhs,4.16,Lakhs,1035,F to M,89.32,%
Kozhikode,30.86,Lakhs,14.71,Lakhs,16.15,Lakhs,1098,F to M,95.24,%
Malappuram,41.13,Lakhs,19.6,Lakhs,21.53,Lakhs,1098,F to M,93.55,%
Palakkad,28.1,Lakhs,13.59,Lakhs,14.5,Lakhs,1067,F to M,88.49,%
Thrissur,31.21,Lakhs,14.81,Lakhs,16.4,Lakhs,1108,F to M,95.32,%
Ernakulam,32.82,Lakhs,16.2,Lakhs,16.63,Lakhs,1027,F to M,95.68,%
Idukki,11.09,Lakhs,5.53,Lakhs,5.56,Lakhs,1006,F to M,92.2,%
Kottayam,19.75,Lakhs,9.68,Lakhs,10.06,Lakhs,1039,F to M,96.4,%
Alappuzha,21.28,Lakhs,10.13,Lakhs,11.15,Lakhs,1100,F to M,96.26,%
Pathanamthitta,11.97,Lakhs,5.62,Lakhs,6.36,Lakhs,1132,F to M,96.93,%
Kollam,26.35,Lakhs,12.47,Lakhs,13.88,Lakhs,1113,F to M,93.77,%
Thiruvananthapuram,33.01,Lakhs,15.82,Lakhs,17.2,Lakhs,1087,F to M,92.66,%
