Date,Active_cases,Recovered,Deceased,Variant
2020-01-30,1,0,0,Original Strain
2020-02-02,2,0,0,Original Strain
2020-02-03,3,0,0,Original Strain
2020-02-14,0,3,0,Original Strain
2020-03-02,0,3,0,Original Strain
2020-03-03,0,3,0,Original Strain
2020-03-04,0,3,0,Original Strain
2020-03-05,0,3,0,Original Strain
2020-03-06,0,3,0,Original Strain
2020-03-07,0,3,0,Original Strain
2020-03-08,5,3,0,Original Strain
2020-03-09,6,3,0,Original Strain
2020-03-10,14,3,0,Original Strain
2020-03-11,14,3,0,Original Strain
2020-03-12,16,3,0,Original Strain
2020-03-13,19,3,0,Original Strain
2020-03-14,19,3,0,Original Strain
2020-03-15,21,3,0,Original Strain
2020-03-16,24,3,0,Original Strain
2020-03-17,24,3,0,Original Strain
2020-03-18,24,3,0,Original Strain
2020-03-19,25,3,0,Original Strain
2020-03-20,37,3,0,Original Strain
2020-03-21,49,3,0,Original Strain
2020-03-22,64,3,0,Original Strain
2020-03-23,92,3,0,Original Strain
2020-03-24,106,3,0,Original Strain
2020-03-25,115,3,0,Original Strain
2020-03-26,134,3,0,Original Strain
2020-03-27,173,3,0,Original Strain
2020-03-28,179,3,0,Original Strain
2020-03-29,181,20,1,Original Strain
2020-03-30,213,20,1,Original Strain
2020-03-31,215,24,2,Original Strain
2020-04-01,237,26,2,Original Strain
2020-04-02,256,28,2,Original Strain
2020-04-03,251,42,2,Original Strain
2020-04-04,254,50,2,Original Strain
2020-04-05,256,56,2,Original Strain
2020-04-06,266,59,2,Original Strain
2020-04-07,263,71,2,Original Strain
2020-04-08,259,84,2,Original Strain
2020-04-09,258,97,2,Original Strain
2020-04-10,238,124,2,Original Strain
2020-04-11,228,143,3,Original Strain
2020-04-12,194,179,3,Original Strain
2020-04-13,178,198,3,Original Strain
2020-04-14,173,211,3,Original Strain
2020-04-15,167,218,3,Original Strain
2020-04-16,147,245,3,Original Strain
2020-04-17,138,255,3,Original Strain
2020-04-18,140,257,3,Original Strain
2020-04-19,129,270,3,Original Strain
2020-04-20,114,291,3,Original Strain
2020-04-21,117,307,3,Original Strain
2020-04-22,127,308,3,Original Strain
2020-04-23,129,316,3,Original Strain
2020-04-24,116,331,4,Original Strain
2020-04-25,116,338,4,Original Strain
2020-04-26,123,342,4,Original Strain
2020-04-27,123,355,4,Original Strain
2020-04-28,123,359,4,Original Strain
2020-04-29,123,369,4,Original Strain
2020-04-30,111,383,4,Original Strain
2020-05-01,102,392,4,Original Strain
2020-05-02,96,400,4,Original Strain
2020-05-03,95,401,4,Original Strain
2020-05-04,34,462,4,Original Strain
2020-05-05,37,462,4,Original Strain
2020-05-06,30,469,4,Original Strain
2020-05-07,25,474,4,Original Strain
2020-05-08,16,484,4,Original Strain
2020-05-09,17,485,4,Original Strain
2020-05-10,20,489,4,Original Strain
2020-05-11,27,489,4,Original Strain
2020-05-12,32,489,4,Original Strain
2020-05-13,41,490,4,Original Strain
2020-05-14,64,493,4,Original Strain
2020-05-15,80,493,4,Original Strain
2020-05-16,87,497,4,Original Strain
2020-05-17,101,497,4,Original Strain
2020-05-18,130,497,4,Original Strain
2020-05-19,142,497,4,Original Strain
2020-05-20,161,502,4,Original Strain
2020-05-21,177,510,4,Original Strain
2020-05-22,216,512,5,Original Strain
2020-05-23,275,515,5,Original Strain
2020-05-24,322,520,6,Original Strain
2020-05-25,359,532,6,Original Strain
2020-05-26,415,542,7,Original Strain
2020-05-27,445,552,7,Original Strain
2020-05-28,526,555,8,Original Strain
2020-05-29,577,565,9,Original Strain
2020-05-30,624,575,10,Original Strain
2020-05-31,670,590,10,Original Strain
2020-06-01,708,608,11,Original Strain
2020-06-02,774,627,12,Original Strain
2020-06-03,832,651,12,Original Strain
2020-06-04,884,690,15,Original Strain
2020-06-05,972,713,15,Original Strain
2020-06-06,1029,763,16,Original Strain
2020-06-07,1095,804,16,Original Strain
2020-06-08,1174,815,17,Original Strain
2020-06-09,1231,849,17,Original Strain
2020-06-10,1238,906,18,Original Strain
2020-06-11,1258,968,19,Original Strain
2020-06-12,1303,1000,20,Original Strain
2020-06-13,1342,1046,20,Original Strain
2020-06-14,1340,1102,20,Original Strain
2020-06-15,1347,1176,21,Original Strain
2020-06-16,1366,1236,21,Original Strain
2020-06-17,1351,1326,21,Original Strain
2020-06-18,1358,1415,22,Original Strain
2020-06-19,1380,1511,22,Original Strain
2020-06-20,1450,1568,22,Original Strain
2020-06-21,1490,1661,22,Original Strain
2020-06-22,1540,1749,22,Original Strain
2020-06-23,1620,1809,23,Original Strain
2020-06-24,1691,1890,23,Original Strain
2020-06-25,1761,1943,23,Original Strain
2020-06-26,1846,2008,23,Original Strain
2020-06-27,1939,2110,23,Original Strain
2020-06-28,2015,2152,23,Original Strain
2020-06-29,2057,2231,24,Original Strain
2020-06-30,2112,2306,25,Original Strain
2020-07-01,2130,2438,26,Original Strain
2020-07-02,2088,2640,26,Original Strain
2020-07-03,2098,2841,26,Original Strain
2020-07-04,2129,3050,26,Original Strain
2020-07-05,2228,3176,26,Original Strain
2020-07-06,2252,3343,28,Original Strain
2020-07-07,2411,3456,28,Original Strain
2020-07-08,2605,3563,28,Original Strain
2020-07-09,2795,3712,28,Original Strain
2020-07-10,3099,3824,28,Original Strain
2020-07-11,3442,3967,30,Original Strain
2020-07-12,3743,4099,32,Original Strain
2020-07-13,4028,4261,34,Original Strain
2020-07-14,4454,4442,35,Original Strain
2020-07-15,4880,4638,36,Original Strain
2020-07-16,5372,4866,38,Original Strain
2020-07-17,6029,4999,39,Original Strain
2020-07-18,6416,5203,41,Original Strain
2020-07-19,7063,5375,43,Original Strain
2020-07-20,7611,5620,44,Original Strain
2020-07-21,8056,5894,45,Original Strain
2020-07-22,8821,6166,46,Original Strain
