district,month,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,mobility_activity_index,stay_home_index
Alappuzha,2021-01,-18.77,42.58,3.55,-15.65,-7.32,13.9,0.88,13.9
Alappuzha,2021-02,-15.61,47.07,-2.04,-14.04,-7.11,10.11,1.65,10.11
Alappuzha,2021-03,-6.84,53.68,-1.23,-8.48,-3.65,9.71,6.7,9.71
Alappuzha,2021-04,-11.27,53.93,-6.47,-15.17,-15.83,14.87,1.04,14.87
Alappuzha,2021-05,-63.71,-2.23,-43.39,-58.87,-46.65,36.13,-42.97,36.13
Alappuzha,2021-06,-40.1,35.43,-13.0,-40.2,-29.7,26.33,-17.51,26.33
Alappuzha,2021-07,-21.58,61.9,3.61,-20.71,-16.42,18.84,1.36,18.84
Alappuzha,2021-08,-1.45,82.58,16.94,-8.0,-10.06,15.71,16.0,15.71
Alappuzha,2021-09,-2.53,81.03,17.33,-7.9,-4.4,16.3,16.71,16.3
Alappuzha,2021-10,6.87,90.81,24.77,-0.26,2.19,14.0,24.88,14.0
Alappuzha,2021-11,18.67,96.87,26.53,9.0,9.33,12.53,32.08,12.53
Alappuzha,2021-12,31.55,110.94,47.13,20.0,15.84,10.68,45.09,10.68
Alappuzha,2022-01,19.94,101.97,41.97,11.61,17.06,17.68,38.51,17.68
Alappuzha,2022-02,28.61,109.39,48.18,12.89,26.64,19.21,45.14,19.21
Alappuzha,2022-03,34.77,106.68,78.65,38.81,31.45,25.29,58.07,25.29
Alappuzha,2022-04,41.77,111.13,84.27,47.57,25.6,26.27,62.07,26.27
Alappuzha,2022-05,45.52,106.97,99.81,53.74,26.65,26.03,66.54,26.03
Alappuzha,2022-06,38.97,105.13,81.57,48.37,36.73,27.47,62.15,27.47
Alappuzha,2022-07,38.61,101.61,76.94,46.23,36.97,28.39,60.07,28.39
Alappuzha,2022-08,51.1,110.94,87.0,49.97,35.9,30.26,66.98,30.26
Alappuzha,2022-09,57.97,118.57,101.63,56.77,29.77,27.27,72.94,27.27
Alappuzha,2022-10,55.13,114.8,97.13,53.07,36.8,26.93,71.39,26.93
Ernakulam,2021-01,-28.23,12.84,0.87,-23.74,-18.35,14.32,-11.32,14.32
Ernakulam,2021-02,-24.43,18.61,-5.54,-21.57,-15.32,11.46,-9.65,11.46
Ernakulam,2021-03,-17.29,24.1,-4.42,-18.45,-12.35,11.35,-5.68,11.35
Ernakulam,2021-04,-30.23,20.23,-11.87,-28.57,-25.83,17.03,-15.25,17.03
Ernakulam,2021-05,-76.81,-30.29,-46.29,-68.42,-57.97,38.55,-55.96,38.55
Ernakulam,2021-06,-56.07,1.73,-17.87,-52.23,-41.73,27.57,-33.23,27.57
Ernakulam,2021-07,-37.35,28.32,-2.19,-34.26,-29.58,20.29,-15.01,20.29
Ernakulam,2021-08,-24.97,41.71,6.03,-23.58,-20.81,16.77,-4.32,16.77
Ernakulam,2021-09,-20.5,46.87,8.03,-18.97,-13.2,16.43,0.45,16.43
Ernakulam,2021-10,-10.45,50.52,9.58,-11.58,-8.32,14.29,5.95,14.29
Ernakulam,2021-11,-0.3,56.43,15.97,-2.93,-2.0,12.27,13.43,12.27
Ernakulam,2021-12,9.29,69.48,30.42,7.1,2.81,10.1,23.82,10.1
