SI No.,District,Goods Vehicles,Buses,Cars & Taxi,2 Wheelers,Others,Total,% of Vehicles,% of cars & taxies,% of 2 wheelers
1,Thiruvananthapuram,48664,23498,287495,834151,96784,1290592,13,13,13
2,Kollam,37789,5867,161009,505136,66513,776314,8,7,8
3,Pathanamthitta,20874,3066,111409,253265,35663,424277,4,5,4
4,Alappuzha,34481,5839,124761,490034,42088,697203,7,6,8
5,Kottayam,38222,7552,179779,353356,60707,639616,6,8,5
6,Idukki,14752,2863,50117,102198,29503,199433,2,2,2
7,Ernakulam,86767,14019,353721,1004232,100531,1559270,15,16,16
8,Thrissur,52790,11952,208193,703506,82929,1059370,10,10,11
9,Palakkad,37164,6146,106020,466043,60618,675991,7,5,7
10,Malappuram,67945,7810,183992,543813,100110,903670,9,8,8
11,Kozhikode,48280,7432,165334,639437,66905,927388,9,8,10
12,Wayanad,11110,1344,31095,77139,18463,139151,1,1,1
13,Kannur,44261,7408,143565,344968,61588,601790,6,7,5
14,Kasaragode,13696,1962,71712,155024,35354,277748,3,3,2
,TOTAL,556795,106758,2178202,6472302,857756,10171813,100,100,100
